bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif,cohort,freq,n_units
-20,-80,0.020631368280400915,0.010375377903707395,4,0.0002956275891344215,0.04096710897166741,-0.00640639986797957,0.0476691364287814,C5,week,5
-19,-76,-0.0021322072319362693,0.011114815264033807,4,-0.02391724514944253,0.019652830685569993,-0.03109691588256218,0.02683250141868964,C5,week,5
-18,-72,0.03134825914980625,0.011098957347596488,4,0.009594302748517133,0.05310221555109536,0.0024248755161510836,0.06027164278346141,C5,week,5
-17,-68,0.030001890889357268,0.011968310956666364,2,0.006544001414291196,0.05345978036442334,-0.0011869891473339708,0.06119077092604851,C5,week,5
-16,-64,0.002068965208387506,0.011837951677779795,3,-0.021133420080060895,0.025271350496835904,-0.028780204410886974,0.03291813482766198,C5,week,5
-15,-60,0.007181054068637026,0.012199777613761932,4,-0.016730510054336362,0.031092618191610414,-0.0246110176654279,0.03897312580270195,C5,week,5
-14,-56,-0.018239212629849073,0.011847654604300204,4,-0.04146061565427747,0.0049821903945793285,-0.04911366763921289,0.012635242379514747,C5,week,5
0,0,-0.0021679432813797844,0.014014552964149633,4,-0.02963646709111306,0.025300580528353496,-0.0386892379527264,0.03435335138996683,C5,week,5
1,4,-0.0037388316009114822,0.013473983694106448,4,-0.03014783964136012,0.022670176439537157,-0.038851427068507235,0.031373763866684265,C5,week,5
2,8,-0.002386682245961304,0.014347214760543773,4,-0.0305072231766271,0.02573385868470449,-0.03977487859609058,0.03500151410416798,C5,week,5
3,12,0.007171026111723381,0.014762126497329239,4,-0.02176274182304193,0.03610479404648869,-0.031298411562371425,0.045640463785818194,C5,week,5
4,16,-0.00632331048259093,0.014405138263473477,3,-0.03455738147899894,0.021910760513817084,-0.04386245287604416,0.031215831910862295,C5,week,5
5,20,0.007683248552241817,0.016353609712263094,2,-0.024369826483793842,0.03973632358827748,-0.034933522797481804,0.05030001990196544,C5,week,5
6,24,0.008415198265698259,0.011701604857106319,4,-0.014519947254230127,0.03135034378562664,-0.02207865767157327,0.03890905420296979,C5,week,5
7,28,-0.0045187960728095096,0.011346858050895891,4,-0.026758637852565458,0.017721045706946437,-0.0340881977890672,0.025050605643448184,C5,week,5
8,32,0.000810153313678431,0.011226510944550858,4,-0.02119380813764125,0.022814114764998113,-0.02844562925647348,0.030065935883830344,C5,week,5
9,36,0.005078263206224473,0.009233816135091846,3,-0.013020016418555545,0.02317654283100449,-0.018984646318851953,0.029141172731300895,C5,week,5
10,40,0.0026354936680281723,0.007023245629696073,3,-0.011130067766176132,0.016401055102232477,-0.015666768548078212,0.02093775588413456,C5,week,5
11,44,0.003367028881868619,0.007864427044617322,4,-0.012047248125581332,0.01878130588931857,-0.01712731426646487,0.023861372030202103,C5,week,5
12,48,-0.02827367919789981,0.020626762728240343,4,-0.06870213414525088,0.012154775749451258,-0.08202609510735184,0.02547873671155223,C5,week,5
13,52,-0.00997180390312975,0.030627411134164045,4,-0.07000152972609128,0.05005792191983177,-0.08978545974449952,0.06984185193824001,C5,week,5
14,56,-0.002879701669232469,0.030723411488111706,4,-0.06309758818593142,0.05733818484746648,-0.08294353011504027,0.07718412677657532,C5,week,5
15,60,-0.025318077992412376,0.03111426116515354,4,-0.08630202987611332,0.035665873891288565,-0.10640044311676855,0.055764287131943806,C5,week,5
16,64,-0.009700895223376764,0.034123133588084796,4,-0.07658223705602296,0.057180446609269436,-0.09862424654739721,0.07922245610064368,C5,week,5
17,68,-0.025498873627254906,0.030104221596169104,3,-0.08450314795574634,0.03350540070123654,-0.10394912106487768,0.052951373810367866,C5,week,5
-47,-188,-0.1700394904509325,0.04683506268792939,4,-0.2618362133192741,-0.0782427675825909,-0.2824975314142914,-0.05758144948757361,C6,week,2
-46,-184,-0.17796671214200935,0.04527029672809661,3,-0.2666964937290787,-0.08923693055493999,-0.28666751431225573,-0.06926590997176296,C6,week,2
-45,-180,-0.16793086392453363,0.04802662772115203,4,-0.2620630542579916,-0.07379867359107566,-0.2832500320355069,-0.05261169581356033,C6,week,2
-44,-176,-0.16177488729716472,0.04602584488554357,4,-0.2519855432728301,-0.07156423132149932,-0.272289874412697,-0.05125990018163247,C6,week,2
-43,-172,-0.1413370496002458,0.044862412012509366,4,-0.22926737714476414,-0.05340672205572744,-0.24905845912273428,-0.0336156400777573,C6,week,2
-42,-168,-0.10868434104878935,0.0421005561724252,4,-0.19120143114674276,-0.026167250950835955,-0.2097741186405465,-0.007594563457032216,C6,week,2
-41,-164,-0.10645598687895337,0.040063591860201093,4,-0.18498062692494752,-0.027931346832959225,-0.20265470629937093,-0.010257267458535821,C6,week,2
-40,-160,-0.11333824906755038,0.0421569258177756,4,-0.19596582367039056,-0.030710674464710208,-0.21456337866957692,-0.012113119465523833,C6,week,2
-39,-156,-0.11113883309762437,0.026091019994219342,3,-0.1622772322862943,-0.060000433908954466,-0.17378730257521385,-0.04849036362003489,C6,week,2
-38,-152,-0.11183802392955486,0.028092291631121584,2,-0.16689891552655317,-0.05677713233255655,-0.17929184808812706,-0.04438419977098265,C6,week,2
-37,-148,-0.09638514240495745,0.031942127121421,4,-0.15899171156294262,-0.033778573246972296,-0.1730830015326953,-0.019687283277219594,C6,week,2
-36,-144,-0.10980014022118122,0.03155397186671391,4,-0.17164592507994048,-0.04795435536242196,-0.18556598010887132,-0.03403430033349111,C6,week,2
-35,-140,-0.10479231678386597,0.03621728195194398,4,-0.17577818940967616,-0.03380644415805577,-0.19175546668871135,-0.017829166879020586,C6,week,2
-34,-136,-0.09056385043156037,0.0274824386456072,3,-0.14442943017695048,-0.03669827068617026,-0.15655332570084884,-0.0245743751622719,C6,week,2
